2026-01-12 20:41:10,893 - INFO - 🚀 开始批量下载A股数据...
2026-01-12 20:41:10,893 - INFO - 数据路径: ./data
2026-01-12 20:41:10,893 - INFO - 时间范围: 20150101 至 20260112
2026-01-12 20:41:16,975 - INFO - 获取到 5470 只待下载股票
2026-01-12 20:41:34,022 - INFO - 获取到 1342 只待下载ETF
2026-01-12 20:41:36,342 - ERROR - ❌ 下载 000060.SZ (中金岭南) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,434 - ERROR - ❌ 下载 000061.SZ (农 产 品) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,583 - ERROR - ❌ 下载 000063.SZ (中兴通讯) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,601 - ERROR - ❌ 下载 000062.SZ (深圳华强) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,643 - ERROR - ❌ 下载 000065.SZ (北方国际) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,653 - ERROR - ❌ 下载 000069.SZ (华侨城Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,659 - ERROR - ❌ 下载 000068.SZ (华控赛格) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,694 - ERROR - ❌ 下载 000070.SZ (特发信息) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,707 - ERROR - ❌ 下载 000078.SZ (海王生物) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,708 - ERROR - ❌ 下载 000066.SZ (中国长城) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,813 - ERROR - ❌ 下载 000088.SZ (盐 田 港) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,820 - ERROR - ❌ 下载 000089.SZ (深圳机场) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,880 - ERROR - ❌ 下载 000090.SZ (天健集团) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,909 - ERROR - ❌ 下载 000096.SZ (广聚能源) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,916 - ERROR - ❌ 下载 000099.SZ (中信海直) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,932 - ERROR - ❌ 下载 000151.SZ (中成股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,950 - ERROR - ❌ 下载 000153.SZ (丰原药业) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:36,971 - ERROR - ❌ 下载 000100.SZ (TCL科技) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,057 - ERROR - ❌ 下载 000156.SZ (华数传媒) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,083 - ERROR - ❌ 下载 000155.SZ (川能动力) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,112 - ERROR - ❌ 下载 000157.SZ (中联重科) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,154 - ERROR - ❌ 下载 000166.SZ (申万宏源) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,161 - ERROR - ❌ 下载 000159.SZ (国际实业) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,175 - ERROR - ❌ 下载 000158.SZ (常山北明) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,176 - ERROR - ❌ 下载 000301.SZ (东方盛虹) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,199 - ERROR - ❌ 下载 000333.SZ (美的集团) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,288 - ERROR - ❌ 下载 000400.SZ (许继电气) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,295 - ERROR - ❌ 下载 000338.SZ (潍柴动力) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,349 - ERROR - ❌ 下载 000401.SZ (金隅冀东) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,556 - ERROR - ❌ 下载 000407.SZ (胜利股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:37,564 - ERROR - ❌ 下载 000402.SZ (金 融 街) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
