symbol,symbol_type,total_return,annual_return,max_drawdown,sharpe_ratio,final_value,dca_buy_count,dca_sell_count,t_buy_count,t_sell_count,t_profit,data_points,start_date,end_date,data_start_date,data_end_date,annual_returns
159001.SZ,etf,0.0,0.0,0.0,0.0,500000.0,0,0,0,0,0.0,0,,,2015-01-05,2026-01-21,"[{""year"": 2015, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2016, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2017, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2018, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2019, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2020, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2021, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2022, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2023, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2024, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2025, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2026, ""return"": 0.0, ""profit"": 0.0}]"
159003.SZ,etf,0.0,0.0,0.0,0.0,500000.0,0,0,0,0,0.0,0,,,2015-01-05,2026-01-21,"[{""year"": 2015, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2016, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2017, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2018, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2019, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2020, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2021, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2022, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2023, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2024, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2025, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2026, ""return"": 0.0, ""profit"": 0.0}]"
159005.SZ,etf,0.0,0.0,0.0,0.0,500000.0,0,0,0,0,0.0,0,,,2015-01-13,2026-01-21,"[{""year"": 2015, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2016, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2017, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2018, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2019, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2020, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2021, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2022, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2023, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2024, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2025, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2026, ""return"": 0.0, ""profit"": 0.0}]"
159100.SZ,etf,0.000611,0.003236340121315573,-0.0007459879902132512,1.010314497946444,500305.5,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.00018039999999990686, ""profit"": -90.19999999995343}, {""year"": 2026, ""return"": 0.0007479023130363535, ""profit"": 373.8999999999651}]"
159101.SZ,etf,-0.0018875999999998603,-0.004913781062652167,-0.0031968515680084507,-0.8239206161405291,499056.20000000007,19,0,1,1,-38.19999999999982,0,,,2025-09-03,2026-01-21,"[{""year"": 2025, ""return"": -0.0027629999999997674, ""profit"": -1381.4999999998836}, {""year"": 2026, ""return"": -0.00033692263439048976, ""profit"": -168.20000000001164}]"
159102.SZ,etf,-0.0007135999999998604,-0.0020495265926165906,-0.00304530255031818,-0.3221390213070547,499643.20000000007,17,0,2,2,2.4000000000005457,0,,,2025-09-16,2026-01-21,"[{""year"": 2025, ""return"": -0.0030133999999997904, ""profit"": -1506.6999999998952}, {""year"": 2026, ""return"": 0.0010129471312118675, ""profit"": 505.5999999999767}]"
159103.SZ,etf,0.00014820000000006985,0.0004067668583742634,-0.0034578872890558454,0.04059218577237395,500074.10000000003,18,0,1,1,-54.0,0,,,2025-09-10,2026-01-21,"[{""year"": 2025, ""return"": -0.0007453999999999069, ""profit"": -372.69999999995343}, {""year"": 2026, ""return"": 0.0007800925504363221, ""profit"": 389.79999999998836}]"
159105.SZ,etf,-0.00048620000000018627,-0.0022443909372744653,-0.002184493733978543,-0.3933081679803723,499756.8999999999,12,0,2,2,-275.1999999999998,0,,,2025-11-03,2026-01-21,"[{""year"": 2025, ""return"": -0.002034620346203671, ""profit"": -1017.3000000001048}, {""year"": 2026, ""return"": 0.0006170803928410535, ""profit"": 308.19999999995343}]"
159106.SZ,etf,0.0014724000000001397,0.0059188844302053845,-0.0005607864289683491,1.8173426038449219,500736.20000000007,13,0,0,0,0.0,0,,,2025-10-22,2026-01-21,"[{""year"": 2025, ""return"": 0.0005460000000001164, ""profit"": 273.0000000000582}, {""year"": 2026, ""return"": 0.0007102590666947353, ""profit"": 355.3999999999651}]"
159107.SZ,etf,0.001839400000000256,0.005558900168401548,-0.004590151294756836,0.39690203441041877,500919.7000000001,17,0,0,0,0.0,0,,,2025-09-22,2026-01-21,"[{""year"": 2025, ""return"": -0.0009888098880985784, ""profit"": -494.39999999984866}, {""year"": 2026, ""return"": 0.0019959117614171094, ""profit"": 997.7999999999884}]"
159108.SZ,etf,0.0017505999999999767,0.011067875939168914,-0.0009500395317793643,1.923716893987175,500875.3,9,0,0,0,0.0,0,,,2025-11-24,2026-01-21,"[{""year"": 2025, ""return"": 0.00014800148001491658, ""profit"": 74.00000000005821}, {""year"": 2026, ""return"": 0.0013506605461776934, ""profit"": 675.5999999999185}]"
159109.SZ,etf,-0.000562,-0.001990130293721526,-0.0014057104236527276,-0.5298170253353245,499719.0,15,0,0,0,0.0,0,,,2025-10-10,2026-01-21,"[{""year"": 2025, ""return"": -0.001154, ""profit"": -577.0}, {""year"": 2026, ""return"": -4.602374825409911e-05, ""profit"": -23.0}]"
159117.SZ,etf,-0.0005269999999998836,-0.0020022189566836213,-0.0012423487789235414,-0.8506971522706313,499736.50000000006,14,0,2,2,-147.59999999999945,0,,,2025-10-17,2026-01-21,"[{""year"": 2025, ""return"": -0.0008695999999999767, ""profit"": -434.79999999998836}, {""year"": 2026, ""return"": 0.00035291042000553, ""profit"": 176.30000000004657}]"
159118.SZ,etf,-2.8e-05,-0.00018580351970909348,-0.00023799762002379976,-0.20242637337701777,499986.0,8,0,0,0,0.0,0,,,2025-11-27,2026-01-21,"[{""year"": 2025, ""return"": -0.000218, ""profit"": -109.0}, {""year"": 2026, ""return"": 0.000200045610399171, ""profit"": 100.0}]"
159119.SZ,etf,0.0009744000000000233,0.005165219158652645,-0.00022186421909791207,2.59344657802716,500487.2,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": 0.00022960000000009313, ""profit"": 114.80000000004657}, {""year"": 2026, ""return"": 0.0007026091713489917, ""profit"": 351.3999999999651}]"
159120.SZ,etf,0.000106,0.0005608521401549993,-0.0006775771918322966,0.16303090544536217,500053.0,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.000408, ""profit"": -204.0}, {""year"": 2026, ""return"": -2.199718436040187e-05, ""profit"": -11.0}]"
159121.SZ,etf,-0.00029,-0.0018235998936466657,-0.0005019839365140316,-0.7586028381406961,499855.0,9,0,0,0,0.0,0,,,2025-11-24,2026-01-21,"[{""year"": 2025, ""return"": -0.00023600236002360023, ""profit"": -118.0}, {""year"": 2026, ""return"": -3.400870622879457e-05, ""profit"": -17.0}]"
159122.SZ,etf,0.0006053999999997905,0.002800168092191191,-0.0010115073459270897,0.5612163792265293,500302.6999999999,12,0,1,1,107.30000000000018,0,,,2025-11-03,2026-01-21,"[{""year"": 2025, ""return"": -0.00013300133001330013, ""profit"": -66.5}, {""year"": 2026, ""return"": 0.00038431506637012265, ""profit"": 192.19999999989523}]"
159123.SZ,etf,0.0008381999999999535,0.005575757008218218,-0.0004458272902629515,2.0960966365962226,500419.1,8,0,0,0,0.0,0,,,2025-11-27,2026-01-21,"[{""year"": 2025, ""return"": -2.0999999999883586e-05, ""profit"": -10.499999999941792}, {""year"": 2026, ""return"": 0.000749533591323669, ""profit"": 374.79999999993015}]"
159125.SZ,etf,-0.00029040000000002327,-0.0013939143555371514,-0.0008155787949514244,-0.39183797462993647,499854.8,11,0,0,0,0.0,0,,,2025-11-06,2026-01-21,"[{""year"": 2025, ""return"": -0.0007896000000000931, ""profit"": -394.80000000004657}, {""year"": 2026, ""return"": -0.00012262057573258464, ""profit"": -61.29999999998836}]"
159126.SZ,etf,-0.00011540000000002328,-0.0005330658517689324,-0.0006133470068185178,-0.17224078757102784,499942.3,12,0,0,0,0.0,0,,,2025-11-03,2026-01-21,"[{""year"": 2025, ""return"": -0.00048380483804842705, ""profit"": -241.90000000002328}, {""year"": 2026, ""return"": -6.92031971876635e-05, ""profit"": -34.59999999997672}]"
159127.SZ,etf,-0.000542,-0.0031865835038228374,-0.0005559922161089745,-3.0021811000742047,499729.0,9,0,0,0,0.0,0,,,2025-11-20,2026-01-21,"[{""year"": 2025, ""return"": -0.000412, ""profit"": -206.0}, {""year"": 2026, ""return"": -9.604283510445659e-05, ""profit"": -48.0}]"
159128.SZ,etf,-0.000236,-0.0012477740139953397,-0.0007676683672653414,-0.3661509170976045,499882.0,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.00059, ""profit"": -295.0}, {""year"": 2026, ""return"": -0.00018200982853074066, ""profit"": -91.0}]"
159129.SZ,etf,0.0032468000000000466,0.017551697574607283,-0.00035896090600281294,3.905912327930938,501623.4,10,0,1,0,0.0,0,,,2025-11-14,2026-01-21,"[{""year"": 2025, ""return"": 0.001006399999999907, ""profit"": 503.19999999995343}, {""year"": 2026, ""return"": 0.0020871847098538504, ""profit"": 1044.8000000000466}]"
159130.SZ,etf,0.000262800000000163,0.001745328553407699,-0.0007806089309093234,0.5185454322207994,500131.4000000001,8,0,0,0,0.0,0,,,2025-11-27,2026-01-21,"[{""year"": 2025, ""return"": -0.0006585999999998603, ""profit"": -329.29999999993015}, {""year"": 2026, ""return"": 0.0003826458409718415, ""profit"": 191.30000000004657}]"
159131.SZ,etf,0.00043680000000004656,0.0023127745522000254,-0.0006619748449558917,0.6225923844041508,500218.4,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.0002987999999999302, ""profit"": -149.39999999996508}, {""year"": 2026, ""return"": 0.00027035501292575596, ""profit"": 135.19999999995343}]"
159132.SZ,etf,-9.019999999995343e-05,-0.0025294482269075935,-0.00015039311199549387,-3.4088947236602096,499954.9,2,0,0,0,0.0,0,,,2026-01-08,2026-01-21,"[{""year"": 2026, ""return"": -9.019999999995343e-05, ""profit"": -45.09999999997672}]"
159133.SZ,etf,0.001924600000000093,0.012388457609781467,-0.00024291394453898073,4.288833759578034,500962.30000000005,8,0,0,0,0.0,0,,,2025-11-25,2026-01-21,"[{""year"": 2025, ""return"": 0.0006286000000000931, ""profit"": 314.30000000004657}, {""year"": 2026, ""return"": 0.0011701181989252898, ""profit"": 585.5}]"
159136.SZ,etf,-0.00014619999999983702,-0.0019745998045188617,-0.0002053878410397173,-3.072711553782647,499926.9000000001,4,0,0,0,0.0,0,,,2025-12-25,2026-01-21,"[{""year"": 2025, ""return"": -1.8999999999883585e-05, ""profit"": -9.499999999941792}, {""year"": 2026, ""return"": -0.00016579675038362263, ""profit"": -82.89999999996508}]"
159137.SZ,etf,-2.1799999999813735e-05,-0.0008837300284638694,-0.00016478296144183346,-0.3728944199564982,499989.1000000001,2,0,0,0,0.0,0,,,2026-01-12,2026-01-21,"[{""year"": 2026, ""return"": -1.180011800111016e-05, ""profit"": -5.899999999965075}]"
159138.SZ,etf,4.400000000139698e-06,0.0002007697098980188,-1.539999999990687e-05,0.8164307611305374,500002.20000000007,1,0,0,0,0.0,0,,,2026-01-13,2026-01-21,"[{""year"": 2026, ""return"": 4.400000000139698e-06, ""profit"": 2.200000000069849}]"
159139.SZ,etf,0.00044940000000013967,0.004981888339746776,-0.0006200645122870492,1.4582688330063744,500224.70000000007,5,0,0,0,0.0,0,,,2025-12-19,2026-01-21,"[{""year"": 2025, ""return"": 2.5000000000116414e-05, ""profit"": 12.500000000058208}, {""year"": 2026, ""return"": 0.0002831529399814449, ""profit"": 141.60000000003492}]"
159140.SZ,etf,0.0004844000000001397,0.005212455215971357,-0.0005727321923451295,1.6097098995793813,500242.20000000007,5,0,0,0,0.0,0,,,2025-12-18,2026-01-21,"[{""year"": 2025, ""return"": 2.8600000000093134e-05, ""profit"": 14.300000000046566}, {""year"": 2026, ""return"": 0.0003109460819493899, ""profit"": 155.5}]"
159141.SZ,etf,0.000807,0.007207218881143174,-0.000702723984281288,1.899255922468478,500403.5,6,0,0,0,0.0,0,,,2025-12-11,2026-01-21,"[{""year"": 2025, ""return"": 0.000108, ""profit"": 54.0}, {""year"": 2026, ""return"": 0.0004628407827707269, ""profit"": 231.5}]"
159142.SZ,etf,0.0007624000000001397,0.006978486319730859,-0.0008420662420117088,1.6416674754502838,500381.20000000007,6,0,0,0,0.0,0,,,2025-12-12,2026-01-21,"[{""year"": 2025, ""return"": 0.00012400000000011642, ""profit"": 62.00000000005821}, {""year"": 2026, ""return"": 0.0004394581429114448, ""profit"": 219.79999999998836}]"
159143.SZ,etf,-2e-05,-0.0008107903540579553,-2.9799707962792117e-05,-1.6241051588037565,499990.0,2,0,0,0,0.0,0,,,2026-01-12,2026-01-21,"[{""year"": 2026, ""return"": -1.000010000100001e-05, ""profit"": -5.0}]"
