date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2020-01-02,6686.61,6809.48,6826.19,6653.5,174722749,179504091136.0,2.6,2.67,176.8,5.85,399005.SZ
2020-01-03,6824.33,6829.66,6853.33,6785.74,168860068,171117494272.0,0.99,0.3,20.18,5.65,399005.SZ
2020-01-06,6790.59,6888.38,6972.09,6773.23,197830203,206846685184.0,2.91,0.86,58.72,6.62,399005.SZ
2020-01-07,6905.15,6964.9,6965.44,6899.72,187899668,192488480768.0,0.95,1.11,76.52,6.29,399005.SZ
2020-01-08,6924.57,6869.35,6966.87,6858.56,202162371,203207663616.0,1.56,-1.37,-95.55,6.77,399005.SZ
2020-01-09,6933.75,6997.64,7000.69,6933.75,184834790,189388984320.0,0.97,1.87,128.29,6.19,399005.SZ
2020-01-10,7015.9,6981.08,7019.45,6943.39,165795881,171999989760.0,1.09,-0.24,-16.56,5.55,399005.SZ
2020-01-13,7003.47,7118.54,7118.54,6974.49,164651955,182988505088.0,2.06,1.97,137.46,5.51,399005.SZ
2020-01-14,7160.92,7114.85,7172.51,7106.45,173240502,191227228160.0,0.93,-0.05,-3.69,5.8,399005.SZ
2020-01-15,7109.05,7125.42,7132.49,7034.22,154124283,168082735104.0,1.38,0.15,10.57,5.16,399005.SZ
2020-01-16,7126.57,7130.16,7153.83,7103.74,151966280,169293012992.0,0.7,0.07,4.74,5.09,399005.SZ
2020-01-17,7141.4,7110.72,7171.19,7086.96,145690680,163236614144.0,1.18,-0.27,-19.44,4.88,399005.SZ
2020-01-20,7118.41,7237.24,7239.96,7100.31,150084270,177214947328.0,1.96,1.78,126.52,5.02,399005.SZ
2020-01-21,7203.73,7144.73,7224.42,7138.94,151013609,171884044288.0,1.18,-1.28,-92.51,5.05,399005.SZ
2020-01-22,7106.76,7281.65,7299.11,7030.29,155470300,185079705600.0,3.76,1.92,136.92,5.2,399005.SZ
2020-01-23,7195.78,7040.36,7281.28,6944.95,177835937,206525825024.0,4.62,-3.31,-241.29,5.95,399005.SZ
2020-02-03,6393.18,6433.43,6553.17,6393.18,82506655,108516716544.0,2.27,-8.62,-606.93,2.76,399005.SZ
2020-02-04,6310.02,6669.46,6672.21,6310.02,230274414,233929355264.0,5.63,3.67,236.03,7.71,399005.SZ
2020-02-05,6712.91,6815.68,6932.56,6711.34,206083694,231003725824.0,3.32,2.19,146.22,6.9,399005.SZ
2020-02-06,6796.17,7006.25,7029.47,6739.9,216709924,244223012864.0,4.25,2.8,190.57,7.25,399005.SZ
2020-02-07,6957.08,6996.56,7029.79,6873.73,218016850,247207964672.0,2.23,-0.14,-9.69,7.3,399005.SZ
2020-02-10,6959.51,7061.57,7061.57,6944.63,207819098,233064280064.0,1.67,0.93,65.01,6.95,399005.SZ
2020-02-11,7080.97,7109.18,7166.75,7011.95,192656753,214004617216.0,2.19,0.67,47.61,6.45,399005.SZ
2020-02-12,7079.7,7221.48,7226.43,7073.43,190383552,211715530752.0,2.15,1.58,112.3,6.37,399005.SZ
2020-02-13,7226.42,7172.58,7259.36,7141.25,206542966,228614676480.0,1.64,-0.68,-48.9,6.91,399005.SZ
2020-02-14,7171.9,7215.13,7298.95,7156.6,188732403,214777790464.0,1.98,0.59,42.55,6.32,399005.SZ
2020-02-17,7255.22,7431.55,7431.55,7255.22,215797693,240744988672.0,2.44,3.0,216.42,7.22,399005.SZ
2020-02-18,7427.8,7447.63,7459.33,7334.8,233096550,264066842624.0,1.68,0.22,16.08,7.8,399005.SZ
2020-02-19,7441.65,7400.57,7514.6,7392.54,241457457,285229142016.0,1.64,-0.63,-47.06,8.08,399005.SZ
2020-02-20,7431.95,7589.16,7598.34,7416.92,243056868,278288121856.0,2.45,2.55,188.59,8.13,399005.SZ
2020-02-21,7571.86,7686.88,7764.07,7563.09,266774802,311488380928.0,2.65,1.29,97.72,8.93,399005.SZ
2020-02-24,7660.18,7786.66,7827.71,7621.35,279388826,331475431424.0,2.68,1.3,99.78,9.35,399005.SZ
2020-02-25,7626.41,7880.87,7890.76,7514.07,327772562,394806177792.0,4.84,1.21,94.21,10.97,399005.SZ
2020-02-26,7772.38,7591.81,7805.54,7556.23,306659558,358379180032.0,3.16,-3.67,-289.06,10.26,399005.SZ
2020-02-27,7630.31,7597.13,7711.44,7485.87,253986721,286444552192.0,2.97,0.07,5.32,8.5,399005.SZ
2020-02-28,7334.27,7256.44,7505.92,7229.83,274400033,302213378048.0,3.63,-4.48,-340.69,9.18,399005.SZ
2020-03-02,7343.3,7510.47,7567.16,7263.18,240520614,278401089536.0,4.19,3.5,254.03,8.05,399005.SZ
2020-03-03,7661.9,7563.93,7755.47,7493.37,269697060,318084788224.0,3.49,0.71,53.46,9.03,399005.SZ
2020-03-04,7509.38,7532.92,7577.41,7375.44,233043489,267540643840.0,2.67,-0.41,-31.01,7.8,399005.SZ
2020-03-05,7637.35,7633.78,7657.04,7520.21,271648727,298407325696.0,1.82,1.34,100.86,9.09,399005.SZ
2020-03-06,7531.04,7566.09,7655.23,7519.99,257144412,263396978688.0,1.77,-0.89,-67.69,8.61,399005.SZ
2020-03-09,7429.58,7232.9,7455.62,7227.61,275212485,294819536896.0,3.01,-4.4,-333.19,9.21,399005.SZ
2020-03-10,7162.69,7434.47,7439.44,7112.85,272142656,294450622464.0,4.52,2.79,201.57,9.11,399005.SZ
2020-03-11,7464.29,7295.67,7481.66,7292.92,245556585,268328099840.0,2.54,-1.87,-138.8,8.22,399005.SZ
2020-03-12,7164.89,7124.04,7208.65,7053.67,214965883,228428812288.0,2.12,-2.35,-171.63,7.19,399005.SZ
2020-03-13,6744.63,7052.24,7140.91,6740.69,246476109,257760415744.0,5.62,-1.01,-71.8,8.25,399005.SZ
2020-03-16,7092.44,6644.45,7092.44,6617.37,237610143,256415313920.0,6.74,-5.78,-407.79,7.95,399005.SZ
2020-03-17,6714.57,6616.35,6788.95,6384.5,208540854,216361185280.0,6.09,-0.42,-28.1,6.98,399005.SZ
2020-03-18,6692.9,6546.81,6850.9,6546.81,216848914,228830609408.0,4.6,-1.05,-69.54,7.26,399005.SZ
2020-03-19,6556.72,6588.88,6630.42,6381.6,201368026,210091593728.0,3.8,0.64,42.07,6.74,399005.SZ
2020-03-20,6681.2,6635.79,6699.76,6525.16,178739909,192214220800.0,2.65,0.71,46.91,5.98,399005.SZ
2020-03-23,6416.14,6301.5,6484.37,6281.38,185326945,189735108608.0,3.06,-5.04,-334.29,6.2,399005.SZ
2020-03-24,6439.98,6422.39,6453.44,6222.77,187958769,189461573632.0,3.66,1.92,120.89,6.29,399005.SZ
2020-03-25,6595.92,6655.65,6664.13,6571.62,196740605,201785004032.0,1.44,3.63,233.26,6.58,399005.SZ
2020-03-26,6601.93,6595.98,6684.77,6564.99,189088343,184102191104.0,1.8,-0.9,-59.67,6.33,399005.SZ
2020-03-27,6690.34,6545.82,6697.49,6540.65,166143232,169314390016.0,2.38,-0.76,-50.16,5.56,399005.SZ
2020-03-30,6436.93,6416.88,6468.27,6322.01,169415887,173967364096.0,2.23,-1.97,-128.94,5.67,399005.SZ
2020-03-31,6490.97,6504.09,6544.15,6464.15,156340198,157692444672.0,1.25,1.36,87.21,5.23,399005.SZ
2020-04-01,6509.31,6502.4,6624.04,6476.15,160315702,168680509440.0,2.27,-0.03,-1.69,5.36,399005.SZ
2020-04-02,6484.62,6683.15,6683.15,6478.48,159535992,171460317184.0,3.15,2.78,180.75,5.34,399005.SZ
2020-04-03,6665.59,6632.78,6711.96,6603.82,158312522,167802109952.0,1.62,-0.75,-50.37,5.3,399005.SZ
2020-04-07,6779.59,6857.98,6861.32,6754.81,196232218,206966374400.0,1.61,3.4,225.2,6.57,399005.SZ
2020-04-08,6813.3,6814.78,6851.59,6778.69,189768543,192188252160.0,1.06,-0.63,-43.2,6.35,399005.SZ
2020-04-09,6850.29,6851.49,6873.77,6797.82,177852966,181160878080.0,1.11,0.54,36.71,5.95,399005.SZ
2020-04-10,6849.97,6705.05,6849.97,6680.9,178088335,178619858944.0,2.47,-2.14,-146.44,5.96,399005.SZ
2020-04-13,6643.19,6617.78,6671.49,6585.3,136658706,134981906432.0,1.29,-1.3,-87.27,4.57,399005.SZ
2020-04-14,6672.34,6827.35,6827.35,6663.1,154690301,163400916992.0,2.48,3.17,209.57,5.18,399005.SZ
2020-04-15,6825.78,6808.43,6891.03,6799.72,188986317,192825016320.0,1.34,-0.28,-18.92,6.32,399005.SZ
2020-04-16,6766.03,6842.36,6858.37,6747.76,170928307,169927499776.0,1.62,0.5,33.93,5.72,399005.SZ
2020-04-17,6921.39,6887.65,6959.78,6873.43,192925181,211060457472.0,1.26,0.66,45.29,6.46,399005.SZ
2020-04-20,6898.95,6950.78,6950.78,6880.49,163223593,174401818624.0,1.02,0.92,63.13,5.46,399005.SZ
2020-04-21,6912.2,6877.33,6912.2,6792.4,170078385,183913377792.0,1.72,-1.06,-73.45,5.69,399005.SZ
2020-04-22,6811.31,6946.99,6948.52,6797.24,167036767,174502203392.0,2.2,1.01,69.66,5.59,399005.SZ
2020-04-23,6973.74,6882.87,6979.46,6877.44,192812872,195415007232.0,1.47,-0.92,-64.12,6.45,399005.SZ
2020-04-24,6877.89,6795.83,6894.93,6769.81,184652283,181460213760.0,1.82,-1.26,-87.04,6.18,399005.SZ
2020-04-27,6827.84,6852.44,6900.0,6771.42,156845755,154142392320.0,1.89,0.83,56.61,5.25,399005.SZ
2020-04-28,6873.36,6916.54,6939.7,6687.32,187951142,184324378624.0,3.68,0.94,64.1,6.29,399005.SZ
2020-04-29,6891.53,6926.1,6971.57,6883.09,142906883,142160703488.0,1.28,0.14,9.56,4.78,399005.SZ
2020-04-30,6980.28,7087.23,7111.85,6980.28,162953728,179224797184.0,1.9,2.33,161.13,5.45,399005.SZ
2020-05-06,7014.75,7189.03,7191.56,7010.13,168025631,190067224576.0,2.56,1.44,101.8,5.62,399005.SZ
2020-05-07,7202.72,7169.22,7222.5,7152.6,174469906,184700579840.0,0.97,-0.28,-19.81,5.84,399005.SZ
2020-05-08,7209.16,7231.93,7276.06,7192.75,176197363,185133174784.0,1.16,0.87,62.71,5.9,399005.SZ
2020-05-11,7260.9,7180.56,7271.25,7138.27,167948229,190012301312.0,1.84,-0.71,-51.37,5.62,399005.SZ
2020-05-12,7174.98,7202.65,7204.59,7096.78,148431263,165646913536.0,1.5,0.31,22.09,4.97,399005.SZ
2020-05-13,7178.54,7259.07,7275.78,7166.55,145037117,168217366528.0,1.52,0.78,56.42,4.85,399005.SZ
2020-05-14,7218.82,7163.63,7231.74,7158.07,158402038,174583320576.0,1.01,-1.31,-95.44,5.3,399005.SZ
2020-05-15,7195.64,7164.75,7227.61,7142.86,146792963,168608378880.0,1.18,0.02,1.12,4.91,399005.SZ
2020-05-18,7149.74,7097.87,7170.26,7054.07,170259963,200188469248.0,1.62,-0.93,-66.88,5.7,399005.SZ
2020-05-19,7162.85,7224.02,7224.02,7155.04,148816430,176238764032.0,0.97,1.78,126.15,4.98,399005.SZ
2020-05-20,7230.29,7152.78,7230.29,7125.26,162347707,186212614144.0,1.45,-0.99,-71.24,5.43,399005.SZ
2020-05-21,7183.83,7068.03,7191.66,7054.72,155579267,173262360576.0,1.91,-1.18,-84.75,5.21,399005.SZ
2020-05-22,7072.81,6940.1,7078.87,6902.47,138496220,154817921024.0,2.5,-1.81,-127.93,4.63,399005.SZ
2020-05-25,6922.75,6901.42,6939.7,6864.74,111635612,129527250944.0,1.08,-0.56,-38.68,3.74,399005.SZ
2020-05-26,6938.08,7047.88,7047.88,6935.67,125920189,143495561216.0,1.63,2.12,146.46,4.21,399005.SZ
2020-05-27,7055.37,6952.41,7055.37,6937.07,138586522,156230684672.0,1.68,-1.35,-95.47,4.64,399005.SZ
2020-05-28,6943.73,6929.3,6977.48,6819.75,141734461,154852974592.0,2.27,-0.33,-23.11,4.74,399005.SZ
2020-05-29,6897.41,6995.42,7009.54,6881.79,131832719,149702430720.0,1.84,0.95,66.12,4.41,399005.SZ
2020-06-01,7066.92,7244.18,7259.94,7066.92,174033062,198210908160.0,2.76,3.56,248.76,5.82,399005.SZ
2020-06-02,7277.85,7248.87,7281.79,7218.01,188523963,219272769536.0,0.88,0.06,4.69,6.31,399005.SZ
2020-06-03,7279.07,7286.87,7354.92,7244.65,190732562,218959249408.0,1.52,0.52,38.0,6.38,399005.SZ
2020-06-04,7303.93,7290.25,7325.64,7252.62,162064771,177573552128.0,1.0,0.05,3.38,5.42,399005.SZ
2020-06-05,7303.8,7333.62,7334.76,7264.05,157575498,167554338816.0,0.97,0.59,43.37,5.27,399005.SZ
2020-06-08,7384.72,7334.48,7421.18,7320.69,148493030,173844160512.0,1.37,0.01,0.86,4.97,399005.SZ
2020-06-09,7357.29,7387.06,7400.97,7317.93,146040553,160476848128.0,1.13,0.72,52.58,4.89,399005.SZ
2020-06-10,7394.85,7439.58,7448.28,7373.35,138299013,164776243200.0,1.01,0.71,52.52,4.63,399005.SZ
2020-06-11,7447.1,7395.54,7513.95,7358.47,159319956,189864992768.0,2.09,-0.59,-44.04,5.33,399005.SZ
2020-06-12,7248.22,7405.2,7438.99,7239.21,154740401,186269044736.0,2.7,0.13,9.66,5.18,399005.SZ
2020-06-15,7389.87,7361.56,7469.65,7361.56,169586358,205287501824.0,1.46,-0.59,-43.64,5.68,399005.SZ
2020-06-16,7446.4,7506.63,7506.63,7412.47,154073050,190974914560.0,1.28,1.97,145.07,5.16,399005.SZ
2020-06-17,7534.56,7546.42,7546.42,7462.81,167257175,202100875264.0,1.11,0.53,39.79,5.6,399005.SZ
2020-06-18,7536.66,7614.93,7620.36,7523.0,164998103,203252387840.0,1.29,0.91,68.51,5.52,399005.SZ
2020-06-19,7620.78,7712.13,7739.05,7608.34,160667704,198782640128.0,1.72,1.28,97.2,5.38,399005.SZ
2020-06-22,7728.58,7767.9,7803.57,7728.58,170997839,209638920192.0,0.97,0.72,55.77,5.72,399005.SZ
2020-06-23,7788.34,7854.7,7862.0,7735.62,155289216,193280000000.0,1.63,1.12,86.8,5.2,399005.SZ
2020-06-24,7864.42,7865.16,7897.1,7835.99,144199693,184481841152.0,0.78,0.13,10.46,4.83,399005.SZ
2020-06-29,7847.13,7814.55,7875.57,7773.19,148769490,184351944704.0,1.3,-0.64,-50.61,4.98,399005.SZ
2020-06-30,7885.26,8015.51,8030.22,7879.02,146289539,196552425472.0,1.93,2.57,200.96,4.9,399005.SZ
2020-07-01,8041.64,8095.74,8095.74,7965.21,180318067,232936165376.0,1.63,1.0,80.23,6.03,399005.SZ
2020-07-02,8089.46,8175.84,8182.32,8049.64,217888241,257506893824.0,1.64,0.99,80.1,7.29,399005.SZ
2020-07-03,8195.21,8287.9,8288.62,8134.34,231363005,273776988160.0,1.89,1.37,112.06,7.74,399005.SZ
2020-07-06,8342.49,8632.06,8637.82,8342.49,309119119,363500822528.0,3.56,4.15,344.16,10.34,399005.SZ
2020-07-07,8749.47,8813.29,9002.57,8681.7,335879808,410043383808.0,3.72,2.1,181.23,11.24,399005.SZ
2020-07-08,8807.59,8966.59,8980.04,8739.19,302274176,374043234304.0,2.73,1.74,153.3,10.12,399005.SZ
2020-07-09,8957.42,9213.65,9256.89,8948.49,343622423,428589662208.0,3.44,2.76,247.06,11.5,399005.SZ
2020-07-10,9134.56,9149.69,9273.35,9088.15,313622244,398486773760.0,2.01,-0.69,-63.96,10.5,399005.SZ
2020-07-13,9169.15,9502.3,9502.3,9169.15,320747402,418055122944.0,3.64,3.85,352.61,10.73,399005.SZ
2020-07-14,9460.65,9373.01,9477.6,9160.43,339514378,448079405056.0,3.34,-1.36,-129.29,11.36,399005.SZ
2020-07-15,9385.67,9150.37,9419.71,9106.21,302299523,388958908416.0,3.34,-2.38,-222.64,10.12,399005.SZ
2020-07-16,9149.57,8656.18,9233.92,8634.63,275253798,349774024704.0,6.55,-5.4,-494.19,9.21,399005.SZ
2020-07-17,8667.37,8760.51,8887.84,8602.27,210082522,264034603008.0,3.3,1.21,104.33,7.03,399005.SZ
2020-07-20,8934.3,8972.58,8978.35,8725.96,221085750,282158780416.0,2.88,2.42,212.07,7.4,399005.SZ
2020-07-21,8980.28,9009.21,9049.95,8906.51,205990003,260183773184.0,1.6,0.41,36.63,6.89,399005.SZ
2020-07-22,9002.1,9103.6,9211.55,8962.23,221537370,277469937664.0,2.77,1.05,94.39,7.41,399005.SZ
2020-07-23,8990.38,9071.83,9113.75,8819.53,234934769,293876875264.0,3.23,-0.35,-31.77,7.86,399005.SZ
2020-07-24,8986.07,8555.14,9027.1,8512.89,249110221,313868484608.0,5.67,-5.7,-516.69,8.34,399005.SZ
2020-07-27,8610.36,8612.63,8692.37,8527.0,177792243,225358258176.0,1.93,0.67,57.49,5.95,399005.SZ
2020-07-28,8709.87,8753.0,8765.27,8642.46,174899016,219479433216.0,1.43,1.63,140.37,5.85,399005.SZ
2020-07-29,8719.05,9010.85,9010.85,8697.73,194583219,251512745984.0,3.58,2.95,257.85,6.51,399005.SZ
2020-07-30,9029.73,8945.45,9031.68,8924.51,212675640,261933268992.0,1.19,-0.73,-65.4,7.12,399005.SZ
2020-07-31,8960.36,9087.86,9164.69,8921.9,219569736,281743757312.0,2.71,1.59,142.41,7.35,399005.SZ
2020-08-03,9180.77,9295.85,9295.85,9135.25,251379108,326201757696.0,1.77,2.29,207.99,8.41,399005.SZ
2020-08-04,9285.3,9199.3,9318.24,9147.95,255608596,332958838784.0,1.83,-1.04,-96.55,8.55,399005.SZ
2020-08-05,9229.32,9275.24,9312.67,9113.17,223593820,286079811584.0,2.17,0.83,75.94,7.48,399005.SZ
2020-08-06,9271.63,9222.79,9271.63,9102.69,227044977,301299736576.0,1.82,-0.57,-52.45,7.6,399005.SZ
2020-08-07,9201.65,9095.93,9233.17,8924.71,223365949,297472589824.0,3.34,-1.38,-126.86,7.47,399005.SZ
