date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2020-01-02,10509.12,10638.82,10663.55,10479.77,393257469,424347406336.0,1.76,1.99,208.05,1.63,399001.SZ
2020-01-03,10666.66,10656.41,10689.59,10594.36,374182702,405405339648.0,0.9,0.17,17.59,1.55,399001.SZ
2020-01-06,10599.41,10698.27,10799.58,10577.78,439641646,472892674048.0,2.08,0.39,41.86,1.83,399001.SZ
2020-01-07,10725.18,10829.05,10829.05,10723.86,414499628,444165763072.0,0.98,1.22,130.78,1.72,399001.SZ
2020-01-08,10776.71,10706.87,10851.28,10681.02,462506911,472740642816.0,1.57,-1.13,-122.18,1.92,399001.SZ
2020-01-09,10807.04,10898.17,10899.48,10807.04,396591114,434903322624.0,0.86,1.79,191.3,1.65,399001.SZ
2020-01-10,10927.98,10879.84,10933.81,10833.52,355689713,398600765440.0,0.92,-0.17,-18.33,1.48,399001.SZ
2020-01-13,10894.0,11040.2,11040.2,10851.72,345273664,409505554432.0,1.73,1.47,160.36,1.43,399001.SZ
2020-01-14,11074.89,10988.77,11086.81,10983.42,377298122,430400618496.0,0.94,-0.47,-51.43,1.57,399001.SZ
2020-01-15,10978.28,10972.32,11001.81,10882.79,331233272,378160533504.0,1.08,-0.15,-16.45,1.38,399001.SZ
2020-01-16,10986.65,10967.44,11008.21,10934.72,317968374,375957684224.0,0.67,-0.04,-4.88,1.32,399001.SZ
2020-01-17,11001.68,10954.39,11045.25,10927.84,304820104,365143216128.0,1.07,-0.12,-13.05,1.27,399001.SZ
2020-01-20,10981.5,11115.88,11115.88,10936.8,330625513,408001032192.0,1.63,1.47,161.49,1.37,399001.SZ
2020-01-21,11077.66,10953.41,11078.04,10948.58,338540805,404258430976.0,1.16,-1.46,-162.47,1.41,399001.SZ
2020-01-22,10896.55,11072.06,11105.69,10761.68,352090081,429531267072.0,3.14,1.08,118.65,1.46,399001.SZ
2020-01-23,10947.86,10681.9,11026.0,10572.27,402894259,481547538432.0,4.1,-3.52,-390.16,1.67,399001.SZ
2020-02-03,9706.58,9779.67,9934.35,9706.58,195449923,262459731968.0,2.13,-8.45,-902.23,0.81,399001.SZ
2020-02-04,9578.87,10089.67,10095.69,9578.87,511560079,536037347328.0,5.28,3.17,310.0,2.13,399001.SZ
2020-02-05,10159.55,10305.5,10445.09,10148.24,454671826,523099590656.0,2.94,2.14,215.83,1.89,399001.SZ
2020-02-06,10306.12,10601.34,10633.17,10214.81,481109435,554856050688.0,4.06,2.87,295.84,2.0,399001.SZ
2020-02-07,10569.65,10611.55,10629.15,10441.9,489619558,567200989184.0,1.77,0.1,10.21,2.03,399001.SZ
2020-02-10,10577.56,10728.46,10730.05,10551.54,470890836,544274325504.0,1.68,1.1,116.91,1.96,399001.SZ
2020-02-11,10749.97,10768.63,10839.19,10678.11,417815191,483068698624.0,1.5,0.37,40.17,1.74,399001.SZ
2020-02-12,10735.05,10940.8,10944.63,10724.08,420141763,492545458176.0,2.05,1.6,172.17,1.75,399001.SZ
2020-02-13,10936.5,10864.32,10988.23,10820.92,455290399,536585011200.0,1.53,-0.7,-76.48,1.89,399001.SZ
2020-02-14,10854.46,10916.31,11017.65,10822.13,417093368,504892465152.0,1.8,0.48,51.99,1.73,399001.SZ
2020-02-17,10974.93,11241.5,11241.5,10974.93,481114964,570188828672.0,2.44,2.98,325.19,2.0,399001.SZ
2020-02-18,11244.77,11306.49,11306.49,11143.39,528090836,624947511296.0,1.45,0.58,64.99,2.19,399001.SZ
2020-02-19,11300.16,11235.6,11387.99,11229.55,537762852,657484296192.0,1.4,-0.63,-70.89,2.23,399001.SZ
2020-02-20,11278.87,11509.09,11519.07,11248.9,551710620,654664638464.0,2.4,2.43,273.49,2.29,399001.SZ
2020-02-21,11506.67,11629.7,11727.89,11493.63,600391734,725971468288.0,2.04,1.05,120.61,2.49,399001.SZ
2020-02-24,11620.63,11772.38,11809.75,11548.41,620546348,770457501696.0,2.25,1.23,142.68,2.58,399001.SZ
2020-02-25,11537.55,11856.08,11869.41,11350.28,730505830,902187397120.0,4.41,0.71,83.7,3.04,399001.SZ
2020-02-26,11677.63,11497.55,11770.51,11453.69,686513098,817348521984.0,2.67,-3.02,-358.53,2.85,399001.SZ
2020-02-27,11555.82,11534.02,11684.5,11401.32,551694825,654632005632.0,2.46,0.32,36.47,2.29,399001.SZ
2020-02-28,11150.66,10980.77,11338.35,10962.24,610890437,696848228352.0,3.26,-4.8,-553.25,2.54,399001.SZ
2020-03-02,11115.46,11381.76,11457.42,11053.29,532405548,632086433792.0,3.68,3.65,400.99,2.21,399001.SZ
2020-03-03,11597.66,11484.21,11734.18,11378.76,601666153,728950349824.0,3.12,0.9,102.45,2.5,399001.SZ
2020-03-04,11411.6,11493.02,11501.8,11273.26,513348247,602117062656.0,1.99,0.08,8.81,2.13,399001.SZ
2020-03-05,11644.41,11711.37,11739.84,11521.29,593054203,689195540480.0,1.9,1.9,218.35,2.46,399001.SZ
2020-03-06,11555.46,11582.82,11690.2,11541.78,538856740,580104347648.0,1.27,-1.1,-128.55,2.24,399001.SZ
