date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2020-01-02,5306.67,5366.14,5374.91,5288.17,145894405,136813752320.0,1.65,1.87,98.48,1.31,000905.SH
2020-01-03,5376.03,5380.64,5395.26,5351.8,128452022,122199724032.0,0.81,0.27,14.5,1.15,000905.SH
2020-01-06,5365.22,5434.85,5481.55,5355.02,159587415,158190936064.0,2.35,1.01,54.21,1.43,000905.SH
2020-01-07,5441.9,5499.84,5499.84,5440.69,144142723,142194163712.0,1.09,1.2,64.99,1.29,000905.SH
2020-01-08,5481.98,5423.8,5500.16,5409.57,155406848,149838069760.0,1.65,-1.38,-76.04,1.39,000905.SH
2020-01-09,5465.86,5497.54,5497.54,5457.35,132431667,135961014272.0,0.74,1.36,73.74,1.19,000905.SH
2020-01-10,5511.67,5480.23,5516.09,5455.25,113819822,118196969472.0,1.11,-0.31,-17.31,1.02,000905.SH
2020-01-13,5478.32,5559.63,5559.63,5447.73,118076180,128651948032.0,2.04,1.45,79.4,1.06,000905.SH
2020-01-14,5576.63,5542.33,5583.72,5539.9,129811384,134845329408.0,0.79,-0.31,-17.3,1.16,000905.SH
2020-01-15,5532.96,5530.03,5545.1,5492.65,112425019,118142836736.0,0.95,-0.22,-12.3,1.01,000905.SH
2020-01-16,5539.42,5527.67,5559.02,5514.69,111897275,122337955840.0,0.8,-0.04,-2.36,1.0,000905.SH
2020-01-17,5539.72,5510.05,5555.41,5499.47,104949330,110491856896.0,1.01,-0.32,-17.62,0.94,000905.SH
2020-01-20,5523.01,5587.54,5587.54,5500.59,115403000,128212119552.0,1.58,1.41,77.49,1.03,000905.SH
2020-01-21,5581.01,5523.94,5581.98,5515.19,124604808,135220985856.0,1.2,-1.14,-63.6,1.12,000905.SH
2020-01-22,5502.59,5575.51,5597.99,5440.2,123474770,138250256384.0,2.86,0.93,51.57,1.11,000905.SH
2020-01-23,5521.79,5377.74,5558.43,5326.93,145773071,161861918720.0,4.15,-3.55,-197.77,1.31,000905.SH
2020-02-03,4896.89,4910.9,4960.75,4896.89,81777083,89455038464.0,1.19,-8.68,-466.84,0.73,000905.SH
2020-02-04,4736.12,4996.47,5013.77,4736.12,189672279,175374995456.0,5.65,1.74,85.57,1.7,000905.SH
2020-02-05,5035.41,5123.96,5178.44,5026.41,171095340,177352351744.0,3.04,2.55,127.49,1.53,000905.SH
2020-02-06,5128.19,5282.89,5299.18,5100.48,185957455,197274054656.0,3.88,3.1,158.93,1.66,000905.SH
2020-02-07,5287.27,5327.04,5329.36,5226.7,191147643,203495542784.0,1.94,0.84,44.15,1.71,000905.SH
2020-02-10,5322.01,5388.43,5389.04,5301.41,176703283,186767921152.0,1.65,1.15,61.39,1.58,000905.SH
2020-02-11,5390.53,5361.28,5396.96,5323.76,152508178,157302894592.0,1.36,-0.5,-27.15,1.37,000905.SH
